number,title_wiki,title_movieLens,movieLensID
1,The Addams Family (1991),Addams Family The (1991),2124
2,Addams Family Values (1993),Addams Family Values (1993),410
3,Addams Family Reunion (1998),Addams Family Reunion (1998),27075
1,Quartet (1948),Quartet (1948),117962
2,Trio (1950),Trio (1950),88171
3,Encore (1951),Encore (1951),119605
1,Aladdin (1992),Aladdin (1992),588
2,The Return of Jafar (1994),Return of Jafar The (1994),2092
3,Aladdin and the King of Thieves (1996),Aladdin and the King of Thieves (1996),1064
1,Kiss the Girls (1997),Kiss the Girls (1997),1620
2,Along Came a Spider (2001),Along Came a Spider (2001),4238
3,Alex Cross (2012),Alex Cross (2012),97742
1,First Daughter (1999),First Daughter (1999),100006
2,First Target (2000),First Target (2000),101178
3,First Shot (2002),First Shot (2002),99970
1,All Dogs Go to Heaven (1989),All Dogs Go to Heaven (1989),2123
2,All Dogs Go to Heaven 2 (1996),All Dogs Go to Heaven 2 (1996),631
3,An All Dogs Christmas Carol (1998),All Dogs Christmas Carol An (1998),105540
1,Anchorman: The Legend of Ron Burgundy (2004),Anchorman: The Legend of Ron Burgundy (2004),8641
2,Wake Up, Ron Burgundy: The Lost Movie (2004),Wake Up Ron Burgundy (2004),50942
3,Anchorman 2: The Legend Continues (2013),Anchorman 2: The Legend Continues (2013),107348
1,The Art of War (2000),Art of War The (2000),3879
2,The Art of War II: Betrayal (2008),Art of War II: Betrayal The (2008),73025
3,The Art of War III: Retribution (2009),Art of War III: Retribution The (2009),109600
1,Austin Powers: International Man of Mystery (1997),Austin Powers: International Man of Mystery (1997),1517
2,Austin Powers: The Spy Who Shagged Me (1999),Austin Powers: The Spy Who Shagged Me (1999),2683
3,Austin Powers in Goldmember (2002),Austin Powers in Goldmember (2002),5481
1,Back to the Future (1985),Back to the Future (1985),1270
2,Back to the Future Part II (1989),Back to the Future Part II (1989),2011
3,Back to the Future Part III (1990),Back to the Future Part III (1990),2012
1,The Bad News Bears (1976),Bad News Bears The (1976),5139
2,The Bad News Bears in Breaking Training (1977),Bad News Bears in Breaking Training The (1977),5141
3,The Bad News Bears Go to Japan (1978),Bad News Bears Go to Japan The (1978),5140
1,Zuckerbaby (1985),Sugarbaby (1985),128960
2,Out of Rosenheim (1987),Bagdad Cafe (Out of Rosenheim) (1987),4529
3,Rosalie Goes Shopping (1989),Rosalie Goes Shopping (1989),4656
1,Before Sunrise (1995),Before Sunrise (1995),215
2,Before Sunset (2004),Before Sunset (2004),8638
3,Before Midnight (2013),Before Midnight (2013),100714
1,Beverly Hills Chihuahua (2008),Beverly Hills Chihuahua (2008),63540
2,Beverly Hills Chihuahua 2 (2011),Beverly Hills Chihuahua 2 (2011),88301
3,Beverly Hills Chihuahua 3: Viva la Fiesta! (2012),Beverly Hills Chihuahua 3 (2012),103120
1,Beverly Hills Cop (1984),Beverly Hills Cop (1984),4085
2,Beverly Hills Cop II (1987),Beverly Hills Cop II (1987),4084
3,Beverly Hills Cop III (1994),Beverly Hills Cop III (1994),420
1,Big Mommas House (2000),Big Mommas House (2000),3646
2,Big Mommas House 2 (2006),Big Mommas House 2 (2006),43558
3,Big Mommas: Like Father, Like Son (2011),Big Mommas: Like Father Like Son (2011),85399
1,Bikini Summer (1991),Bikini Summer (1991),88059
2,Bikini Summer II (1992),Bikini Summer II (1992),88480
3,Bikini Summer III: South Beach Heat (1997),Bikini Summer III - South Beach Heat (1997),26964
1,The Black Stallion (1979),Black Stallion The (1979),6170
2,The Black Stallion Returns (1983),Black Stallion Returns The (1983),6169
3,The Young Black Stallion (2003),Young Black Stallion The (2003),7166
1,Blade (1998),Blade (1998),2167
2,Blade II (2002),Blade II (2002),5254
3,Blade: Trinity (2004),Blade: Trinity (2004),8985
1,The Butterfly Effect (2004),The Butterfly Effect (2004),7254
2,The Butterfly Effect 2 (2006),The Butterfly Effect 2 (2006),48943
3,The Butterfly Effect 3: Revelations (2009),The Butterfly Effect 3: Revelations (2009),67799
1,Candyman (1992),Candyman (1992),1342
2,Candyman: Farewell to the Flesh (1995),Candyman: Farewell to the Flesh (1995),606
3,Candyman: Day of the Dead (1999),Candyman 3: Day of the Dead (1999),27140
1,The Cannonball Run (1981),Cannonball Run The (1981),4396
2,Cannonball Run II (1984),Cannonball Run II (1984),4397
3,Speed Zone (1989),Speed Zone! (a.k.a. Cannonball Run III) (1989),4398
1,The Care Bears Movie (1985),Care Bears Movie The (1985),5538
2,Care Bears Movie II: A New Generation (1986),Care Bears Movie II: A New Generation (1986),5539
3,The Care Bears Adventure in Wonderland (1987),The Care Bears Adventure in Wonderland (1987),117480
1,Carnosaur (1993),Carnosaur (1993),3572
2,Carnosaur 2 (1995),Carnosaur 2 (1995),3573
