number;title
1;9 1/2 Weeks (1986)
2;Another 9 1/2 Weeks (aka Love in Paris) (1997)   
3;The First 9 1/2 Weeks (1998)    
1;12 Rounds (2009)
2;12 Rounds 2: Reloaded (2013)  
3;12 Rounds 3: Lockdown (2015)  
1;1920 (2008)
2;1920: Evil Returns (2012)
3;1920 London (2016)
1;2012: Doomsday (2008)  
2;2012: Supernova (2009)  
3;2012: Ice Age (2011)  
1;The ABCs of Death (2013)
2;ABCs of Death 2 (2015)
3;ABCs of Death 2.5(2016)
1;Ace Ventura: Pet Detective (1994)
2;Ace Ventura: When Nature Calls (1995)
3;Ace Ventura Jr: Pet Detective (2009)  
1;Yarınsız Adam (aka Man Without Tomorrow) (1976)
2;Satılmış Adam (aka Sold Man) (1977)
3;Yıkılmayan Adam (aka Indestructible Man) (1978)
1;The Addams Family (1991)
2;Addams Family Values (1993)
3;Addams Family Reunion (1998)  
1;Adventures of a Taxi Driver (1976)
2;Adventures of a Private Eye (1977)
3;Adventures of a Plumber's Mate (1978)
1;Quartet (1948)
2;Trio (1950)
3;Encore (1951)
1;Shadows in Paradise (1986)
2;Ariel (1988)
3;The Match Factory Girl (1990)
1;Selkynchek (1993)
2;Beshkempir (1998)
3;Maimil (2001)
1;Aladdin (1992)
2;The Return of Jafar (1994)  
3;Aladdin and the King of Thieves (1996)  
1;Kiss the Girls (1997)
2;Along Came a Spider (2001)
3;Alex Cross (2012)
1;First Daughter (1999)  
2;First Target (2000)  
3;First Shot (2002)  
1;L'Avventura (1960)
2;La Notte (1961)
3;Eclipse (1962)
1;All Dogs Go to Heaven (1989)
2;All Dogs Go to Heaven 2 (1996)
3;An All Dogs Christmas Carol (1998)  
1;Alvin Purple (1973)
2;Alvin Purple Rides Again (1974)
3;Melvin, Son of Alvin (1984)
1;Anchorman: The Legend of Ron Burgundy (2004)
2;Wake Up, Ron Burgundy: The Lost Movie (2004)  
3;Anchorman 2: The Legend Continues (2013)
1;Animation Show: Volume One (2003)  
2;Animation Show: Volume Two (2005)  
3;Animation Show: Volume Three (2007)  
1;A Thousand & One Nights (1969)
2;Cleopatra (1970)
3;Belladonna (1973)
1;Angels in the Outfield (1994)
2;Angels in the Endzone (1997)  
3;Angels in the Infield (2000)  
1;Spider-Man (1977)  
2;Spider-Man Strikes Back (1978)  
3;Spider-Man: The Dragon's Challenge (1979)  
1;Captive Wild Woman (1943)
2;Jungle Woman (1944)
3;The Jungle Captive (1945)
1;The Thing (1982)
2;Prince of Darkness (1987)
3;In the Mouth of Madness (1994)
1;The Apple Dumpling Gang (1975)
2;The Apple Dumpling Gang Rides Again (1979)
3;Tales of the Apple Dumpling Gang (1982)  
1;Pather Panchali (1955)
2;Aparajito (1957)
3;The World of Apu (1959)
1;Armour of God (1986)
2;Armour of God II: Operation Condor (1991)
3;CZ12 (2012)
1;The Adventures of Arsène Lupin (1957)
2;Signé Arsène Lupin (1959)
3;Arsène Lupin contre Arsène Lupin (fr) (1962)
1;Art of the Devil (2004)
2;Art of the Devil 2 (2005)
3;Art of the Devil 3 (2008)
1;The Art of War (2000)
2;The Art of War II: Betrayal (2008)  
3;The Art of War III: Retribution (2009)  
1;Arthur and the Invisibles (2006)
2;Arthur and the Revenge of Maltazard (2009)
3;Arthur 3: The War of the Two Worlds (2010)
1;Asiong Aksaya (1977)
2;Awat na, Asiong Aksaya! (1979)
